countryiso3,date,admin1,admin2,market,market_id,latitude,longitude,category,product,commodity_id,unit,priceflag,pricetype,currency,mp_price,usdprice,year,Unit_Weight,Price_Norm
NGA,2010-11-15,Kano,Dawakin Tofa,Dawanau,1976,12.09,8.43,cereals and tubers,Maize (white),67,100 KG,actual,Wholesale,NGN,5100.0,33.84,2010,100.0,51.0
NGA,2010-11-15,Katsina,Jibia,Jibia (CBM),1038,13.08,7.24,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,142.4,0.94,2010,1.0,142.4
NGA,2010-11-15,Katsina,Mai'Adua,Mai Adoua (CBM),1039,13.18,8.23,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,409.81,2.72,2010,1.0,409.81
NGA,2010-11-15,Oyo,Ibadan North,Ibadan,1975,7.4,3.92,cereals and tubers,Maize (white),67,100 KG,actual,Wholesale,NGN,4500.0,29.86,2010,100.0,45.0
NGA,2010-12-15,Borno,Mobbar,Damassack (CBM),1040,13.01,12.56,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,417.24,2.72,2010,1.0,417.24
NGA,2010-12-15,Katsina,Mai'Adua,Mai Adoua (CBM),1039,13.18,8.23,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,509.9,3.32,2010,1.0,509.9
NGA,2010-12-15,Sokoto,Gada,Illela (CBM),1037,13.64,5.28,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,174.31,1.14,2010,1.0,174.31
NGA,2010-12-15,Sokoto,Gada,Illela (CBM),1037,13.64,5.28,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,334.28,2.18,2010,1.0,334.28
NGA,2011-01-15,Borno,Mobbar,Damassack (CBM),1040,13.01,12.56,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,146.15,0.95,2011,1.0,146.15
NGA,2011-01-15,Jigawa,Maigatari,Mai Gatari (CBM),1041,12.78,9.44,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,187.33,1.22,2011,1.0,187.33
NGA,2011-01-15,Kano,Dawakin Tofa,Dawanau,1976,12.09,8.43,cereals and tubers,Maize (white),67,100 KG,actual,Wholesale,NGN,4500.0,29.35,2011,100.0,45.0
NGA,2011-01-15,Katsina,Jibia,Jibia (CBM),1038,13.08,7.24,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,153.85,1.0,2011,1.0,153.85
NGA,2011-01-15,Katsina,Jibia,Jibia (CBM),1038,13.08,7.24,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,468.91,3.06,2011,1.0,468.91
NGA,2011-01-15,Katsina,Mai'Adua,Mai Adoua (CBM),1039,13.18,8.23,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,422.0,2.75,2011,1.0,422.0
NGA,2011-01-15,Sokoto,Gada,Illela (CBM),1037,13.64,5.28,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,169.0,1.1,2011,1.0,169.0
NGA,2011-01-15,Sokoto,Gada,Illela (CBM),1037,13.64,5.28,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,333.71,2.18,2011,1.0,333.71
NGA,2011-02-15,Borno,Mobbar,Damassack (CBM),1040,13.01,12.56,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,469.94,3.08,2011,1.0,469.94
NGA,2011-02-15,Jigawa,Maigatari,Mai Gatari (CBM),1041,12.78,9.44,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,183.87,1.21,2011,1.0,183.87
NGA,2011-02-15,Jigawa,Maigatari,Mai Gatari (CBM),1041,12.78,9.44,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,408.06,2.68,2011,1.0,408.06
